,id,0,1,2,3,4,5,6,7,8,9,10
74,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,"Հայաստանի Հանրապետության օրենսդրության համաձայն նոր կառուցված, ձեռք բերված և անշարժ գույքի կադաստր վարող լիազոր մարմնի կողմից հաշվառված ու գնահատված այն շինությունները, որոնք դեռևս չեն ստացել իրավունքների պետական գրանցում, ինչպես նաև սեփականության կամ հողօգտագործման իրավունք ունեցող անձանց կողմից այդ հողամաuի վրա ինքնակամ կառուցված շենքերը և շինությունները, այդ թվում՝ բազմաբնակարան շենքերում կամ շենքերին կից ինքնակամ կառույցները:",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-10-31,Այլ,Այո
75,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-10-31,Այլ,Այո
76,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-12-31,Այլ,Այո
77,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-10-31,Այլ,Այո
78,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-10-31,Այլ,Այո
79,ՀԿ_16,,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐԱԳԱԾՈՏՆ ՔՈՒՉԱԿ,Պաշտպանված,Պաշտպանված Պաշտպանված,2005-10-31,Այլ,Այո
80,ՀԿ_15,Տվյալներ չկան,,,,,,,,,,
81,ՀԿ_12,,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,"Հայաստանի Հանրապետության օրենսդրության համաձայն նոր կառուցված, ձեռք բերված և անշարժ գույքի կադաստր վարող լիազոր մարմնի կողմից հաշվառված ու գնահատված այն շինությունները, որոնք դեռևս չեն ստացել իրավունքների պետական գրանցում, ինչպես նաև սեփականության կամ հողօգտագործման իրավունք ունեցող անձանց կողմից այդ հողամաuի վրա ինքնակամ կառուցված շենքերը և շինությունները, այդ թվում՝ բազմաբնակարան շենքերում կամ շենքերին կից ինքնակամ կառույցները:",միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԱՐԱԲԿԻՐ,Պաշտպանված,Պաշտպանված Պաշտպանված,2014-07-03,Նվիրատվություն,Այո
82,ՀԿ_11,,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԿԵՆՏՐՈՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2015--,Գնում,Այո
83,ՀԿ_11,,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,Հողամաս,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ՏԱՎՈՒՇ ԴԻԼԻՋԱՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2010--,Գնում,Այո
84,ՀԿ_11,,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,Ավտոկայանատեղի,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԿԵՆՏՐՈՆ,Պաշտպանված,Պաշտպանված Պաշտպանված,2015--,Գնում,Ոչ
85,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2017-05-20,Գնում,Այո
86,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2018-01-17,Գնում,Այո
87,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ԱՅԳԵՇԱՏ,Պաշտպանված,Պաշտպանված Պաշտպանված,1991-03-12,Այլ,Այո
88,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Բազմամյա տնկի,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2017-05-20,Գնում,Այո
89,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Բազմամյա տնկի,միանձնյա սեփականություն,-,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ ՎԱՆԱՆԴ,Պաշտպանված,Պաշտպանված Պաշտպանված,2018-01-17,Գնում,Այո
90,ՀԿ_09,,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը,",համատեղ սեփականություն,-,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ՆՈՐ ՆՈՐՔ,Պաշտպանված,Պաշտպանված Պաշտպանված,1997-02-04,Այլ,Այո
