,,link,position,decl_title,decl_link
ԿԿՀ_08,0,http://cpcarmenia.am//hy/declarations-registry/user_id=31224/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր-- (2021),http://cpcarmenia.am/hy/declarations-registry/id=69950/
ԿԿՀ_08,1,http://cpcarmenia.am//hy/declarations-registry/user_id=31224/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=82362/
ԿԿՀ_09,0,http://cpcarmenia.am//hy/declarations-registry/user_id=43916/,Կոռուպցիայի կանխարգելման հանձնաժողովի նախագահի օգնական,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=103137/
ՀԿ_01,0,http://cpcarmenia.am//hy/declarations-registry/user_id=38063/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ԽՈՐՀՐԴԱԿԱՆ,Պաշտոնատար անձի պաշտոնեական պարտականություններն ստանձնելու հայտարարագիր--- (2022),http://cpcarmenia.am/hy/declarations-registry/id=85130/
ՀԿ_02,0,http://cpcarmenia.am//hy/declarations-registry/user_id=20429/,Հատուկ քննչական ծառայության պետի  օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2019),http://cpcarmenia.am/hy/declarations-registry/id=50034/
ՀԿ_02,1,http://cpcarmenia.am//hy/declarations-registry/user_id=20429/,Հատուկ քննչական ծառայության պետի  օգնական,Պաշտոնատար անձի տարեկան հայտարարագիր-- (2020),http://cpcarmenia.am/hy/declarations-registry/id=63801/
ՀԿ_02,2,http://cpcarmenia.am//hy/declarations-registry/user_id=20429/,ՀՀ ՀԱԿԱԿՈՌՈՒՊՑԻՈՆ ԿՈՄԻՏԵԻ ՆԱԽԱԳԱՀԻ ՕԳՆԱԿԱՆ,Պաշտոնատար անձի տարեկան հայտարարագիր--- (2021),http://cpcarmenia.am/hy/declarations-registry/id=87419/
ՀԿ_03,0,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ հատուկ քննչական ծառայության պետին առընթեր հատկապես կարևոր գործերի ավագ քննիչ,Պաշտոնատար անձի պաշտոնը ստանձնելու հայտարարագիր  (2017),http://cpcarmenia.am/hy/declarations-registry/id=16643/
ՀԿ_03,1,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ Հատուկ քննչական ծառայության ընդհանուր բնույթի հանցագործությունների քննության վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր (2017),http://cpcarmenia.am/hy/declarations-registry/id=21114/
ՀԿ_03,2,http://cpcarmenia.am//hy/declarations-registry/user_id=3492/,ՀՀ Հատուկ քննչական ծառայության ընդհանուր բնույթի հանցագործությունների քննության վարչության պետ,Պաշտոնատար անձի տարեկան հայտարարագիր (2018),http://cpcarmenia.am/hy/declarations-registry/id=42777/
