,id,0,1,2,3
82,ՀԿ_24,,Պաշտպանված,Պաշտպանված,Պաշտպանված
83,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
84,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
85,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
86,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
87,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
88,ՀԿ_23,,Պաշտպանված,Պաշտպանված,Պաշտպանված
89,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
90,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
91,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
92,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
93,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
94,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
95,ՀԿ_22,,Պաշտպանված,Պաշտպանված,Պաշտպանված
96,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
97,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
98,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
99,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
100,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
101,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
102,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
103,ՀԿ_21,,Պաշտպանված,Պաշտպանված,Պաշտպանված
104,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
105,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
106,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
107,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
108,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
109,ՀԿ_20,,Պաշտպանված,Պաշտպանված,Պաշտպանված
