,id,0,1,2,3
0,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
1,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
2,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
3,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
4,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
5,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
6,ՀԿ_33,,Պաշտպանված,Պաշտպանված,Պաշտպանված
7,ՀԿ_30,,Պաշտպանված,Պաշտպանված,Պաշտպանված
8,ՀԿ_30,,Պաշտպանված,Պաշտպանված,Պաշտպանված
9,ՀԿ_30,,Պաշտպանված,Պաշտպանված,Պաշտպանված
10,ՀԿ_14,,Պաշտպանված,Պաշտպանված,Պաշտպանված
11,ՀԿ_14,,Պաշտպանված,Պաշտպանված,Պաշտպանված
12,ՀԿ_14,,Պաշտպանված,Պաշտպանված,Պաշտպանված
13,ՀԿ_14,,Պաշտպանված,Պաշտպանված,Պաշտպանված
14,ՀԿ_14,,Պաշտպանված,Պաշտպանված,Պաշտպանված
15,ՀԿ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
16,ՀԿ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
17,ՀԿ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
18,ՀԿ_13,,Պաշտպանված,Պաշտպանված,Պաշտպանված
19,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
20,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
21,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
22,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
23,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
24,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
25,ՀԿ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
26,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
27,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
28,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
29,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
30,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
31,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
32,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
33,ՀԿ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
34,ՀԿ_01,,Պաշտպանված,Պաշտպանված,Պաշտպանված
35,ՀԿ_01,,Պաշտպանված,Պաշտպանված,Պաշտպանված
36,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
37,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
38,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
39,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
40,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
41,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
42,ՀԴԴ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
43,ՀԴԴ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
44,ՀԴԴ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
45,ՀԴԴ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
46,ՀԴԴ_08,,Պաշտպանված,Պաշտպանված,Պաշտպանված
47,ՀԴԴ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
48,ՀԴԴ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
49,ՀԴԴ_07,,Պաշտպանված,Պաշտպանված,Պաշտպանված
50,ՀԴԴ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
51,ՀԴԴ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
52,ՀԴԴ_04,,Պաշտպանված,Պաշտպանված,Պաշտպանված
53,ՀԴԴ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
54,ՀԴԴ_03,,Պաշտպանված,Պաշտպանված,Պաշտպանված
55,ՀԴԴ_02,,Պաշտպանված,Պաշտպանված,Պաշտպանված
56,ԿԿՀ_09,,Պաշտպանված,Պաշտպանված,Պաշտպանված
57,ԿԿՀ_09,,Պաշտպանված,Պաշտպանված,Պաշտպանված
58,ԿԿՀ_06,Տվյալներ չկան,,,
59,ԿԿՀ_05,,Պաշտպանված,Պաշտպանված,Պաշտպանված
60,ԿԿՀ_05,,Պաշտպանված,Պաշտպանված,Պաշտպանված
61,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
62,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
63,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
64,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
65,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
66,ԱԾՈՒԳ_10,,Պաշտպանված,Պաշտպանված,Պաշտպանված
67,ԱԾՈՒԳ_09,Տվյալներ չկան,,,
68,ԱԾՈՒԳ_05,Տվյալներ չկան,,,
